Phase_Number,State,Constituency,Total_Electorate_Count,Poll_Percent,Total_Votes_Polled
3,Bihar,Madhepura,2071166.0,58.29,1207368.0
3,Bihar,Supaul,1927207.0,63.55,1224821.0
3,Chhattisgarh,BILASPUR,2102687.0,64.77,1361871.0
3,Chhattisgarh,DURG,2090414.0,73.68,1540193.0
3,Chhattisgarh,JANJGIR-CHAMPA,2056047.0,67.56,1389012.0
3,Chhattisgarh,KORBA,1618864.0,75.63,1224268.0
3,Chhattisgarh,RAIGARH,1838547.0,78.85,1449673.0
3,Chhattisgarh,RAIPUR,2375379.0,66.82,1587116.0
3,Chhattisgarh,SURGUJA,1819347.0,79.89,1453444.0
3,"Dadra & Nagar Haveli and
Daman & Diu","Dadar & Nagar
Haveli",283024.0,72.52,205248.0
3,"Dadra & Nagar Haveli and
Daman & Diu",Daman & Diu,134189.0,68.77,92279.0
3,Goa,North Goa,580577.0,77.69,451042.0
3,Goa,South Goa,598767.0,74.47,445916.0
3,Gujarat,Ahmedabad East,2038162.0,54.72,1115317.0
3,Gujarat,Ahmedabad West,1726987.0,55.45,957573.0
3,Gujarat,Amreli,1732810.0,50.29,871373.0
3,Gujarat,Anand,1780182.0,65.04,1157763.0
3,Gujarat,Banaskantha,1961924.0,69.62,1365989.0
3,Gujarat,Bardoli,2048408.0,64.81,1327669.0
3,Gujarat,Bharuch,1723353.0,69.16,1191877.0
3,Gujarat,Bhavnagar,1916900.0,53.92,1033629.0
3,Gujarat,Chhota Udaipur,1821708.0,69.15,1259760.0
3,Gujarat,Dahod,1875136.0,59.31,1112211.0
3,Gujarat,Gandhinagar,2182736.0,59.8,1305197.0
3,Gujarat,Jamnagar,1817864.0,57.67,1048410.0
3,Gujarat,Junagadh,1795110.0,58.91,1057462.0
3,Gujarat,Kachchh,1943136.0,56.14,1090878.0
3,Gujarat,Kheda,2007404.0,58.12,1166619.0
3,Gujarat,Mahesana,1770617.0,59.86,1059938.0
3,Gujarat,Navsari,2223550.0,59.66,1326542.0
3,Gujarat,Panchmahal,1896743.0,58.85,1116171.0
3,Gujarat,Patan,2019916.0,58.56,1182950.0
3,Gujarat,Porbandar,1768212.0,51.83,916519.0
3,Gujarat,Rajkot,2112273.0,59.69,1260768.0
3,Gujarat,Sabarkantha,1976349.0,63.56,1256210.0
3,Gujarat,Surendranagar,2033419.0,55.09,1120128.0
3,Gujarat,Vadodara,1949573.0,61.59,1200768.0
3,Gujarat,Valsad,1859974.0,72.71,1352413.0
3,Karnataka,Bagalkot,1806183.0,72.66,1312319.0
3,Karnataka,Belgaum,1923788.0,71.49,1375283.0
3,Karnataka,Bellary,1884040.0,73.59,1386553.0
3,Karnataka,Bidar,1892962.0,65.47,1239358.0
3,Karnataka,Bijapur,1946090.0,66.32,1290719.0
3,Karnataka,Chikkodi,1761694.0,78.66,1385688.0
3,Karnataka,Davanagere,1709244.0,76.99,1315916.0
3,Karnataka,Dharwad,1831975.0,74.37,1362421.0
3,Karnataka,Gulbarga,2098202.0,62.25,1306119.0
3,Karnataka,Haveri,1792774.0,77.6,1391214.0
3,Karnataka,Koppal,1866397.0,70.99,1324898.0
3,Karnataka,Raichur,2010103.0,64.66,1299806.0
3,Karnataka,Shimoga,1752885.0,78.33,1372949.0
3,Karnataka,Uttara Kannada,1641156.0,76.53,1256027.0
3,Madhya Pradesh,BETUL,1895331.0,73.53,1393608.0
3,Madhya Pradesh,BHIND,1900654.0,54.93,1044022.0
3,Madhya Pradesh,BHOPAL,2339411.0,64.06,1498626.0
3,Madhya Pradesh,GUNA,1889551.0,72.43,1368554.0
3,Madhya Pradesh,GWALIOR,2154601.0,62.13,1338708.0
3,Madhya Pradesh,MORENA,2006730.0,58.97,1183282.0
3,Madhya Pradesh,RAJGARH,1875211.0,76.04,1425911.0
3,Madhya Pradesh,SAGAR,1745690.0,65.75,1147866.0
3,Madhya Pradesh,VIDISHA,1945404.0,74.48,1449010.0
3,Maharashtra,Baramati,2372668.0,59.5,1411621.0
3,Maharashtra,Hatkanangale,1814277.0,71.11,1290073.0
3,Maharashtra,Kolhapur,1936403.0,71.59,1386230.0
3,Maharashtra,Latur,1977042.0,62.59,1237355.0
3,Maharashtra,Madha,1991454.0,63.65,1267530.0
3,Maharashtra,Osmanabad,1992737.0,63.88,1272969.0
3,Maharashtra,Raigad,1668372.0,60.51,1009567.0
3,Maharashtra,Ratnagiri- Sindhudurg,1451630.0,62.52,907618.0
3,Maharashtra,Sangli,1868174.0,62.27,1163353.0
3,Maharashtra,Satara,1889740.0,63.16,1193492.0
3,Maharashtra,Solapur,2030119.0,59.19,1201586.0
3,Uttar Pradesh,Agra,2072685.0,54.08,1120864.0
3,Uttar Pradesh,Aonla,1891713.0,57.44,1086687.0
3,Uttar Pradesh,Badaun,2008758.0,54.35,1091697.0
3,Uttar Pradesh,Bareilly,1924434.0,58.03,1116749.0
3,Uttar Pradesh,Etah,1700524.0,59.31,1008533.0
3,Uttar Pradesh,Fatehpur Sikri,1798823.0,57.19,1028791.0
3,Uttar Pradesh,Firozabad,1890772.0,58.53,1106747.0
3,Uttar Pradesh,Hathras,1938080.0,55.71,1079731.0
3,Uttar Pradesh,Mainpuri,1790797.0,58.73,1051758.0
3,Uttar Pradesh,Sambhal,1898202.0,62.91,1194209.0
3,West Bengal,Jangipur,1805360.0,75.72,1367014.0
3,West Bengal,Maldaha Dakshin,1782159.0,76.69,1366728.0
3,West Bengal,Maldaha Uttar,1862035.0,76.03,1415718.0
3,West Bengal,Murshidabad,1888097.0,81.52,1539112.0
4,Andhra Pradesh,Amalapuram (SC),1531410.0,83.85,1284018.0
4,Andhra Pradesh,Anakapalle,1596916.0,82.03,1309977.0
4,Andhra Pradesh,Ananthapur,1767591.0,80.51,1423108.0
4,Andhra Pradesh,Araku (ST),1554633.0,73.68,1145426.0
4,Andhra Pradesh,Bapatla (SC),1506354.0,85.48,1287704.0
4,Andhra Pradesh,Chittoor(SC),1640202.0,85.77,1406880.0
4,Andhra Pradesh,Eluru,1637430.0,83.68,1370153.0
4,Andhra Pradesh,Guntur,1791543.0,78.81,1411989.0
4,Andhra Pradesh,Hindupur,1656775.0,84.7,1403259.0
4,Andhra Pradesh,Kadapa,1639066.0,79.57,1304256.0
