Constituency_Name,State,EVM Votes Counted,EVM Votes Polled,Difference,Margin
Bishnupur,West Bengal,1506951,1507040,-89,5567.0
Bolangir,Odisha,1394081,1396719,-2638,132664.0
Bolpur,West Bengal,1520408,1520401,7,327253.0
Bulandshahr,Uttar Pradesh,1049325,1049189,136,275134.0
Buldhana,Maharashtra,1105267,1105761,-494,29479.0
Buxar,Bihar,1066300,1065290,1010,30091.0
Chalakudy,Kerala,942792,942787,5,63754.0
Chamarajanagar,Karnataka,1365929,1366015,-86,188706.0
Chandauli,Uttar Pradesh,1113469,1116673,-3204,21565.0
Chandigarh,Chandigarh,448548,448547,1,2504.0
Chandni Chowk,Delhi,963895,964503,-608,89325.0
Chandrapur,Maharashtra,1238291,1241574,-3283,260406.0
Chatra,Jharkhand,1074449,1076352,-1903,220959.0
CHENNAI CENTRAL,Tamil Nadu,727305,728614,-1309,244689.0
CHENNAI NORTH,Tamil Nadu,899330,899367,-37,339222.0
CHENNAI SOUTH,Tamil Nadu,1095926,1096026,-100,225945.0
Chevella,Telangana,1656178,1657107,-929,172897.0
CHHINDWARA,Madhya Pradesh,1302172,1303001,-829,113618.0
Chhota Udaipur,Gujarat,1258990,1259760,-770,398777.0
CHIDAMBARAM,Tamil Nadu,1158718,1160762,-2044,103554.0
Chikkballapur,Karnataka,1525885,1525718,167,163460.0
Chikkodi,Karnataka,1385725,1385688,37,90834.0
Chitradurga,Karnataka,1360301,1361031,-730,48121.0
Chittoor (SC),Andhra Pradesh,1400022,1406880,-6858,220479.0
CHITTORGARH,Rajasthan,1488902,1488898,4,389877.0
CHURU,Rajasthan,1407789,1407716,73,72737.0
COIMBATORE,Tamil Nadu,1366177,1366597,-420,118068.0
Coochbehar,West Bengal,1615848,1616079,-231,39250.0
CUDDALORE,Tamil Nadu,1021640,1025298,-3658,185896.0
Cuttack,Odisha,1116941,1118918,-1977,57077.0
Dadar & NagarHaveli,Dadar & Nagar Haveli and Daman & Diu,205257,205248,9,57584.0
Dahod,Gujarat,1112249,1112211,38,333677.0
Dakshina Kannada,Karnataka,1408738,1409653,-915,149208.0
Daman & Diu,Dadar & Nagar Haveli and Daman & Diu,92279,92279,0,6225.0
DAMOH,Madhya Pradesh,1087123,1087455,-332,406426.0
Darbhanga,Bihar,1022134,1021962,172,178156.0
Darjeeling,West Bengal,1319731,1320072,-341,178525.0
Darrang-Udalguri,Assam,1804194,1811764,-7570,329012.0
DAUSA,Rajasthan,1058583,1058386,197,237340.0
Davanagere,Karnataka,1315951,1315916,35,26094.0
Deoria,Uttar Pradesh,1040381,1040178,203,34842.0
DEWAS,Madhya Pradesh,1464796,1464690,106,425225.0
Dhanbad,Jharkhand,1414710,1418264,-3554,331583.0
DHAR,Madhya Pradesh,1422029,1421585,444,218665.0
DHARMAPURI,Tamil Nadu,1238428,1238184,244,21300.0
Dharwad,Karnataka,1362521,1362421,100,97324.0
Dhaurahra,Uttar Pradesh,1109492,1109680,-188,4449.0
Dhenkanal,Odisha,1184033,1193460,-9427,76567.0
Dhubri,Assam,2445683,2450041,-4358,1012476.0
Dhule,Maharashtra,1215525,1217523,-1998,3831.0
Diamond harbour,West Bengal,1524223,1524138,85,710930.0
Dibrugarh,Assam,1273727,1273744,-17,279321.0
DINDIGUL,Tamil Nadu,1143174,1143196,-22,443821.0
Dindori,Maharashtra,1236675,1237180,-505,113199.0
Diphu,Assam,678288,682441,-4153,147603.0
Domariyaganj,Uttar Pradesh,1016183,1019548,-3365,42728.0
Dumdum,West Bengal,1254461,1254452,9,70660.0
Dumka,Jharkhand,1174681,1175294,-613,22527.0
DURG,Chhattisgarh,1539539,1540193,-654,438226.0
East Delhi,Delhi,1261887,1261988,-101,93663.0
Eluru,Andhra Pradesh,1366884,1370153,-3269,181857.0
Ernakulam,Kerala,904102,904131,-29,250385.0
ERODE,Tamil Nadu,1086406,1086287,119,236566.0
Etah,Uttar Pradesh,1007609,1008533,-924,28052.0
Etawah,Uttar Pradesh,1030621,1030554,67,58419.0
Faizabad,Uttar Pradesh,1139094,1139882,-788,54567.0
FARIDABAD,Haryana,1469170,1470649,-1479,172914.0
Faridkot,Punjab,1009711,1009637,74,70053.0
Farrukhabad,Uttar Pradesh,1031784,1032244,-460,2678.0
Fatehgarh Sahib,Punjab,971031,970783,248,34202.0
Fatehpur,Uttar Pradesh,1105472,1106690,-1218,33199.0
Fatehpur Sikri,Uttar Pradesh,1028909,1028791,118,43405.0
Firozabad,Uttar Pradesh,1105210,1106747,-1537,89312.0
Firozpur,Punjab,1117934,1119167,-1233,3242.0
Gadchiroli - Chimur,Maharashtra,1161041,1162476,-1435,141696.0
Gandhinagar,Gujarat,1304840,1305197,-357,744716.0
GANGANAGAR,Rajasthan,1399702,1399688,14,88153.0
Garhwal,Uttarakhand,716561,717834,-1273,163503.0
